_id,Firts Name,Last Name,Center,test_date,userscore,physics,chemistry,maths,resultstatus,pp_totalmarks
11,Mechelle,Stoneman,Brooklyn,2024-05-19,274,77,69,,Present,360
12,Tyesha,Freitag,Manhattan,2024-06-02,,,,,Absent,720
13,Dean,Stoecker,Manhattan,2024-06-02,,,,,Absent,720
14,Annelle,Pickney,Brooklyn,2024-06-02,,,,,Absent,720
15,Margareta,Tacy,Manhattan,2024-06-16,,,,,Absent,300
16,Meghann,Placencia,Manhattan,2024-06-09,,,,,Absent,75
17,Kendrick,Cieslak,Brooklyn,2024-05-19,,,,,Absent,360
18,Polly,Isenberg,Manhattan,2024-06-02,,,,,Absent,720
19,Evelyne,Racicot,Manhattan,2024-05-19,232,35,71,,Present,360
20,Augustus,Delaune,Manhattan,2024-06-02,,,,,Absent,720
21,Shawanda,Client,Manhattan,2024-06-02,,,,,Absent,720
22,Loura,Coffield,Manhattan,2024-05-19,320,75,83,,Present,360
23,Lorriane,Machin,Brooklyn,2024-06-02,419,54,40,,Present,720
24,Lacey,Osier,Manhattan,2024-06-02,401,44,43,,Present,720
25,Nicki,Malchow,Manhattan,2024-06-16,,,,,Absent,300
26,Sidney,Bodiford,Brooklyn,2024-05-19,97,-3,24,,Present,360
27,Barbie,Cun,Brooklyn,2024-06-02,,,,,Absent,720
28,Elden,Hanshaw,Manhattan,2024-06-16,,,,,Absent,300
29,Blossom,Loggins,Brooklyn,2024-05-19,43,18,24,1,Present,144
30,Joseph,Dennie,Manhattan,2024-06-16,85,18,40,27,Present,300
31,Pattie,Markley,Brooklyn,2024-06-02,,,,,Absent,300
32,Genevieve,Spahn,Brooklyn,2024-06-02,398,31,52,,Absent,720
33,Luciano,Jaworski,Brooklyn,2024-06-02,,,,,Absent,720
34,Noe,Mahler,Brooklyn,2024-06-16,,,,,Absent,300
35,Karri,Bransford,Brooklyn,2024-06-02,527,114,83,,Absent,720
36,Larae,Bonney,Brooklyn,2024-06-09,27,4,6,10,Absent,75
37,Sharita,Fierros,Manhattan,2024-05-19,80,26,44,10,Absent,144
38,Frederica,Perla,Manhattan,2024-06-02,194,90,39,65,Absent,300
39,Mara,Elder,Manhattan,2024-06-16,,,,,Absent,300
40,Enola,Volz,Manhattan,2024-06-02,394,60,40,,Absent,720
41,Leslie,Mccardell,Manhattan,2024-06-02,,,,,Absent,720
42,Gina,Coria,Manhattan,2024-05-19,,,,,Absent,144
43,Marietta,Taing,Brooklyn,2024-06-16,62,11,39,12,Present,300
44,Karlyn,Buchholtz,Manhattan,2024-06-16,10,3,-2,9,Present,300
45,Herma,Renken,Brooklyn,2024-06-16,245,80,80,85,Present,300
46,Gertrud,Gillispie,Brooklyn,2024-06-02,169,71,46,52,Present,300
47,Kelsie,Lavoie,Brooklyn,2024-06-02,,,,,Absent,720
48,Selena,Jenney,Brooklyn,2024-05-19,75,26,9,,Present,360
49,Teri,Schooley,Brooklyn,2024-05-19,,,,,Absent,144
50,Lizette,Campana,Manhattan,2024-06-16,238,74,76,88,Present,300
51,Mayra,Luby,Manhattan,2024-06-09,,,,,Absent,75
52,Luisa,Finneran,Brooklyn,2024-06-02,,,,,Absent,720
53,Genoveva,Herrod,Brooklyn,2024-06-02,,,,,Absent,720
54,Tandra,Toon,Manhattan,2024-06-02,,,,,Absent,720
55,Zoe,Mangrum,Manhattan,2024-06-09,39,7,9,14,Present,75
56,Marquerite,Salaam,Brooklyn,2024-06-02,,,,,Absent,720
57,Alva,Fonte,Queens,2024-05-19,,,,,Absent,360
58,Maudie,Cage,Brooklyn,2024-05-19,64,27,36,1,Present,144
59,Hilde,Greaves,Brooklyn,2024-06-02,174,69,47,58,Present,300
60,Christiana,Rippe,Brooklyn,2024-06-16,128,32,58,38,Present,300
61,Bulah,Warr,Brooklyn,2024-05-19,215,54,52,,Present,360
62,Azzie,Stolte,Manhattan,2024-05-19,202,23,33,,Present,360
63,Sharri,Whistler,Brooklyn,2024-06-02,,,,,Absent,720
64,Rebecka,Holliman,Brooklyn,2024-06-02,,,,,Absent,720
65,Bryce,Muse,Manhattan,2024-05-19,223,35,61,,Present,360
66,Merideth,Marcus,Brooklyn,2024-06-02,,,,,Absent,720
67,Nova,Boden,Manhattan,2024-06-16,,,,,Absent,300
68,Granville,Watchman,Manhattan,2024-05-19,190,47,47,,Present,360
69,Marquerite,Dearborn,Brooklyn,2024-06-23,28,15,2,11,Present,300
70,Arielle,Ketcham,Manhattan,2024-05-19,,,,,Absent,360
71,Shona,Buggs,Brooklyn,2024-05-19,196,37,46,,Present,360
72,Aleta,Ciesla,Manhattan,2024-06-02,,,,,Absent,720
73,Jenni,Wichman,Manhattan,2024-06-02,,,,,Absent,720
74,Cuc,Phinney,Brooklyn,2024-06-02,,,,,Absent,720
